CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""MELILLA""",84,Hombre,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""MELILLA""",12,Hombre,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""MELILLA""",106,Hombre,0,3,8,3,4,3,3,0,0,0,0,0,1,3,3,31
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""MELILLA""",36,Hombre,0,0,1,0,0,2,1,1,0,1,2,1,2,0,0,11
F. CC SOCIALES DE MELILLA,258,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""",117,Hombre,0,3,5,9,5,6,5,2,3,1,4,1,3,1,1,49
 , ,"DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA ""MELILLA""",24,Hombre,0,0,0,1,1,0,0,0,1,1,0,0,2,0,7,13
 , ,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""",35,Hombre,0,1,1,0,1,0,1,0,0,0,0,0,2,3,4,13
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),54,Hombre,11,7,5,1,1,0,0,0,0,0,0,0,2,0,0,27
 , ,GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),16,Hombre,4,0,0,0,1,0,0,0,0,0,0,0,2,0,1,8
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA),12,Hombre,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,5
F. DE ENFERMERÍA DE MELILLA,210,"DIPLOMADO EN ENFERMERÍA ""MELILLA""",150,Hombre,0,3,5,4,6,1,2,1,3,0,0,0,2,1,1,29
 , ,GRADO EN ENFERMERÍA (MELILLA),60,Hombre,1,1,0,0,3,1,1,0,0,0,0,0,1,1,0,9
F. DE CC. DE LA SALUD CEUTA,513,"DIPLOMADO EN ENFERMERÍA ""CEUTA""",373,Hombre,0,13,28,13,8,7,6,5,6,3,2,3,6,4,2,106
 , ,GRADO EN ENFERMERÍA (CEUTA),140,Hombre,8,3,7,4,5,1,1,2,3,3,1,1,1,0,2,42
CENTRO PROF. INMACULADAC CONC.,1445,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (LA INMACULADA),157,Hombre,2,2,1,2,0,1,1,0,0,0,0,0,1,0,0,10
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (LA INMACULADA),317,Hombre,47,44,24,11,7,5,2,2,3,1,1,2,4,1,1,155
 , ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE (LA INMACULADA),49,Hombre,0,1,2,1,4,0,0,1,0,0,0,0,0,1,0,10
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL (LA INMACULADA),98,Hombre,0,8,4,3,4,2,2,1,1,1,0,0,1,0,0,27
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA (LA INMACULADA),251,Hombre,0,26,41,31,33,17,19,8,4,6,6,2,0,3,0,196
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL (LA INMACULADA),259,Hombre,0,5,2,3,1,0,2,1,0,2,1,0,2,2,2,23
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL (LA INMACULADA),68,Hombre,0,7,7,2,0,2,4,1,2,2,2,0,0,2,0,31
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA (LA INMACULADA),158,Hombre,0,0,16,8,8,5,3,2,2,1,1,0,5,0,1,52
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA (LA INMACULADA),88,Hombre,0,0,0,3,6,2,2,1,2,3,2,2,4,1,1,29
CENTRO DE ENFERMERÍA DEL S.A.S,186,DIPLOMADO EN ENFERMERÍA (VIRGEN DE LAS NIEVES),127,Hombre,0,7,6,3,3,4,1,1,1,0,1,1,6,2,3,39
 , ,GRADO EN ENFERMERÍA (VIRGEN DE LA NIEVES),59,Hombre,1,1,1,0,1,1,0,0,1,0,0,0,1,0,2,9
FACS. EMPRESARIALES Y DERECHO,849,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO,143,Hombre,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,54
 , ,LDO. EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO,706,Hombre,0,38,36,45,41,37,27,9,13,9,1,0,0,0,0,256
FACS. CC. POLÍTICAS Y DERECHO,450,GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN Y DERECHO,103,Hombre,28,8,5,3,0,0,1,0,1,0,0,0,0,0,1,47
 , ,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMON. Y DERECHO,347,Hombre,0,22,31,19,16,19,13,12,6,3,1,0,0,0,1,143
